Metal;lrs;lifespan;Sexo;Morph;nacimiento;SEX01;MORPH01;prodBIRTHyr;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist
269;0;2;H;B;2019;0;0;1.98;-1.910949707;210;122;90;35.66;465;5;33;14;593.82
270;1;3;H;B;2019;0;0;1.98;-1.910949707;173;88;61;36.37;445;5;27;14;1954.01
271;1;4;H;B;2019;0;0;1.98;-1.910949707;163;84;59;35.26;470;3;25;18;3036.77
272;3;4;M;B;2019;1;0;1.98;-1.910949707;202;124;95;34.91;400;1;31;17;256.77
273;2;4;M;B;2019;1;0;1.98;-1.910949707;216;120;100;35.2;400;16;34;18;403.97
274;0;2;H;B;2019;0;0;1.98;-1.910949707;126;51;34;33.24;305;3;19;33;1912.11
275;2;4;H;B;2019;0;0;1.98;-1.910949707;159;76;53;34.69;355;4;24;24;2306.59
276;1;4;M;B;2019;1;0;1.98;-1.910949707;211;123;102;35.14;395;2;33;20;420.21
277;1;4;M;B;2019;NA;0;1.98;-1.910949707;211;122;98;36.74;400;4;33;20;1102.2
278;1;4;M;B;2019;1;0;1.98;-1.910949707;211;122;98;36.74;400;4;33;20;1102.2
279;0;2;M;B;2019;1;0;1.98;-1.910949707;182;105;84;35.04;385;4;28;24;2028.32
280;0;3;M;B;2019;1;0;1.98;-1.910949707;162;87;67;36.15;350;6;25;29;255.89
281;2;4;M;B;2019;1;0;1.98;-1.910949707;187;112;85;35.59;410;3;29;21;259.14
282;0;4;M;B;2019;1;0;1.98;-1.910949707;153;80;50;34.9;250;0;23;23;1821.45
283;3;4;M;B;2019;1;0;1.98;-1.910949707;197;122;95;33.86;325;2;31;24;32.66
284;1;3;H;B;2019;0;0;1.98;-1.910949707;213;134;105;36.52;405;1;33;22;861.93
