OffspringNUM;Sexo;Morph;nacimiento;year;Nido;Ring;location_1;location_9sites;location_3sites;location_4sites;age;breeding;success;SEX01;MORPH01;prod;prodBIRTHyr;wind;windBIRTHyr;ala;X9ala;Cola;Tarso;Peso;Moscas;edad_dias;layingJULIANnest;Dist;avgAGE;deltaAGE;Metal
2;H;B;2009;2011;EL-7-11;B5N;EL;EL;rapalobos;rapalobos;2;SI;1;0;0;1.79;1.68;-1.552280924;-1.245007128;192.5;110.5;81.5;35.85;390;0;NA;23;850.03;2;0;EF_FEcyKjv4
3;H;B;NA;2012;EFS-4-12;B6N;EFS;EFS;cald;caldEX;2;SI;1;0;0;1.23;2.21;0.60649199;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;EF_5QC268TT
1;H;B;NA;2011;ECI-4-11;B6P;ECI;ECI;cald;caldIN;NA;SI;1;0;0;1.79;NA;-1.552280924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_6Q9fi9Bq
2;H;B;NA;2012;ECI-7-12;B6P;ECI;ECI;cald;caldIN;2;SI;1;0;0;1.23;2.21;0.60649199;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_6Q9fi9Bq
0;H;N;2010;2013;ER-2-13;BFH;ER;ER;rapalobos;rapalobos;3;NO;0;0;1;1.57;2.21;0.290908371;-1.40250537;248;164.5;161;NA;455;NA;38.91;10;3471.47;4;-1;EF_SzsJdDAn
0;H;N;2010;2014;ER-28-14;BlFH;ER;ER;rapalobos;rapalobos;4;NO;0;0;1;0;2.21;2.7273725;-1.40250537;248;164.5;161;NA;455;NA;38.91;10;3471.47;4;0;EF_SzsJdDAn
2;H;N;2010;2015;ER-21-15;BFH;ER;ER;rapalobos;rapalobos;5;SI;1;0;1;1.32;2.21;-0.387763242;-1.40250537;248;164.5;161;NA;455;NA;38.91;10;3471.47;4;1;EF_SzsJdDAn
2;H;B;2010;2018;ER-14-18;BlJW;ER;ER;rapalobos;rapalobos;8;SI;1;0;0;1.53;2.21;-1.85072484;-1.40250537;197;113;82;NA;432.5;NA;36.33;16;2428;8;0;EF_svufzkvu
2;H;B;2010;2013;ECI-11-13;B9P;ECI;ECI;cald;caldIN;3;SI;1;0;0;1.57;2.21;0.290908371;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;-5.625;EF_dtrbmDfk
3;H;B;2010;2016;ECI-4-16;B9P;ECI;ECI;cald;caldIN;6;SI;1;0;0;2.11;2.21;-2.954813904;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;-2.625;EF_dtrbmDfk
3;H;B;2010;2017;ECI-5-17;B9P;ECI;ECI;cald;caldIN;7;SI;1;0;0;2.12;2.21;-3.232740274;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;-1.625;EF_dtrbmDfk
2;H;B;2010;2018;ECI-1-18;Bl9P;ECI;ECI;cald;norte;8;SI;1;0;0;1.53;2.21;-1.85072484;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;-0.625;EF_dtrbmDfk
3;H;B;2010;2019;ECI-2-19;B9P;ECI;ECI;cald;caldIN;9;SI;1;0;0;1.98;2.21;-1.910949707;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;0.375;EF_dtrbmDfk
0;H;B;2010;2021;ECI-5-21;B9P;ECI;ECI;cald;norte;11;NO;0;0;0;1.05;2.21;-0.074727389;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;2.375;EF_dtrbmDfk
1;H;B;2010;2022;ECI-5-22;B9P;ECI;ECI;cald;caldIN;12;SI;1;0;0;1.17;2.21;0.251126434;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;3.375;EF_dtrbmDfk
1;H;B;2010;2023;EN-18-23;B9P;EN;EN;norte;norte;13;SI;1;0;0;NA;2.21;NA;-1.40250537;176;97;72;NA;440;NA;27.22;13;1291.22;8.625;4.375;EF_dtrbmDfk
2;M;B;2009;2019;ECI-10-19;B16;ECI;ECI;cald;norte;10;SI;1;1;0;1.98;1.68;-1.910949707;-1.245007128;185;100;87;34.34;425;1;28.69;16;2598.83;11.66666667;-1.666666667;EF_DKNDr43i
1;M;B;2009;2021;ECI-6-21;Bl16;ECI;ECI;cald;norte;12;SI;1;1;0;1.05;1.68;-0.074727389;-1.245007128;185;100;87;34.34;425;1;28.69;16;2598.83;11.66666667;0.333333333;EF_DKNDr43i
0;M;B;2009;2022;ECI-6-22;B16;ECI;ECI;cald;norte;13;NO;0;1;0;1.17;1.68;0.251126434;-1.245007128;185;100;87;34.34;425;1;28.69;16;2598.83;11.66666667;1.333333333;EF_DKNDr43i
1;H;B;2009;2012;EN-4-12;B2P;EN;EN;norte;norte;3;SI;1;0;0;1.23;1.68;0.60649199;-1.245007128;202;114;89;36.2;390;5;31.44;15;2739.03;3;0;EF_ksKcHdRZ
2;H;B;NA;2011;ECI-7-11;B7N;ECI;ECI;cald;norte;NA;SI;1;0;0;1.79;NA;-1.552280924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_eo92pG2K
2;H;B;NA;2012;ECI-3-12;B7N;ECI;ECI;cald;norte;2;SI;1;0;0;1.23;2.21;0.60649199;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_eo92pG2K
2;H;B;NA;2013;ECI-4-13;B7N;ECI;ECI;cald;norte;3;SI;1;0;0;1.57;2.21;0.290908371;-1.40250537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EF_eo92pG2K
2;H;B;2010;2017;ER-19-17;BHA;ER;ER;rapalobos;norte;7;SI;1;0;0;2.12;2.21;-3.232740274;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76;8.2;-1.2;EF_mCqUhmkj
3;H;B;2010;2017;ER-15-17;BlHA;ER;ER;rapalobos;norte;7;SI;1;0;0;2.12;2.21;-3.232740274;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76;8.2;-1.2;EF_mCqUhmkj
2;H;B;2010;2018;ER-4-18;BHA;ER;ER;rapalobos;norte;8;SI;1;0;0;1.53;2.21;-1.85072484;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76;8.2;-0.2;EF_mCqUhmkj
3;H;B;2010;2019;ER-9-19;BHA;ER;ER;rapalobos;norte;9;SI;1;0;0;1.98;2.21;-1.910949707;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76;8.2;0.8;EF_mCqUhmkj
1;H;B;2010;2020;ER-9-20;BlHA;ER;ER;rapalobos;norte;10;SI;1;0;0;1.83;2.21;-1.075666206;-1.40250537;210;130.5;95;NA;490;NA;32.74;23;719.76;8.2;1.8;EF_mCqUhmkj
0;H;B;2010;2012;ER-32-12;BlHH;ER;ER;rapalobos;norte;2;NO;0;0;0;1.23;2.21;0.60649199;-1.40250537;195;107;83;NA;480;NA;33.84;16;682.4;3.5;-1.5;EF_w7zXxMj8
0;H;B;2010;2013;ER-32-13;BHH;ER;ER;rapalobos;norte;3;NO;0;0;0;1.57;2.21;0.290908371;-1.40250537;195;107;83;NA;480;NA;33.84;16;682.4;3.5;-0.5;EF_w7zXxMj8
0;H;B;2010;2014;ER-27-14;BlHH;ER;ER;rapalobos;norte;4;NO;0;0;0;0;2.21;2.7273725;-1.40250537;195;107;83;NA;480;NA;33.84;16;682.4;3.5;0.5;EF_w7zXxMj8
0;H;B;2010;2015;ER-24-15;BlHH;ER;ER;rapalobos;norte;5;NO;0;0;0;1.32;2.21;-0.387763242;-1.40250537;195;107;83;NA;480;NA;33.84;16;682.4;3.5;1.5;EF_w7zXxMj8
2;M;B;2010;2015;EN-4-15;B6U;EN;EN;norte;norte;5;SI;1;1;0;1.32;2.21;-0.387763242;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;-4.142857143;EF_UidFttGn
3;M;B;2010;2017;EN-3-17;Bl6U;EN;EN;norte;norte;7;SI;1;1;0;2.12;2.21;-3.232740274;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;-2.142857143;EF_UidFttGn
3;M;B;2010;2018;EN-11-18;B6U;EN;EN;norte;norte;8;SI;1;1;0;1.53;2.21;-1.85072484;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;-1.142857143;EF_UidFttGn
3;M;B;2010;2019;EN-4-19;B6U;EN;EN;norte;norte;9;SI;1;1;0;1.98;2.21;-1.910949707;-1.40250537;210;134.5;101.5;NA;408;NA;32.74;21;2335.73;9.142857143;-0.142857143;EF_UidFttGn
